Centerline Latitude (°),Centerline Longitude (°),Width (m)
-92.87469345423877,30.039881984394437,176.74245859226727
-92.87459648094821,30.039869782958437,179.65006637628824
-92.87449959603785,30.039856147064658,182.0402506974878
-92.87440278145691,30.039841386764966,183.73612712104403
-92.87430601915456,30.039825812111214,183.52229935804317
-92.87420929108006,30.039809733155252,180.25628493647835
-92.87411257918262,30.039793459948953,172.56334342517312
-92.87401586541142,30.03977730254415,159.0950497076255
-92.87391913171571,30.039761570992713,157.7644151396885
-92.87382236004466,30.0397465753465,159.59212808231814
-92.8737255323475,30.03973262565735,160.9997073901256
-92.8736286305734,30.03972003197713,159.8815487703271
-92.87353163667167,30.0397091043577,154.45511003673988
-92.87343453259463,30.039700152796293,153.4187277144727
-92.87333730585743,30.03969339225853,156.98037361412207
-92.87323996096563,30.03968874744631,161.4147665826341
-92.87314250565757,30.039686087837055,164.23920238137367
-92.87304494767139,30.03968528290815,160.31222425795093
-92.8729472947454,30.039686202137023,156.921095997125
-92.87284955461776,30.03968871500107,149.70919777236602
-92.87275173502677,30.039692690977713,141.88185109519105
-92.87265384371055,30.03969799954435,138.35697786483394
-92.87255588840742,30.039704510178368,134.05041896575082
-92.87245787685559,30.039712092357203,133.80954539406466
-92.87235981679324,30.03972061555824,137.2828345480104
-92.87226171595867,30.039729949258906,147.87725464825886
-92.87216358209007,30.039739962936594,157.98779907362382
-92.87206542292567,30.039750526068712,168.62347899336734
-92.87196724620368,30.039761508132663,167.45848095386546
-92.87186905966237,30.03977277860587,170.08829225727985
-92.87177087103994,30.039784206965724,182.22869399503202
-92.87167268807461,30.039795662689627,185.73151805144494
-92.87157451850464,30.039807015255004,179.66739923707814
-92.87147637006824,30.039818134139257,175.66871004577857
-92.87137825050364,30.039828888819777,161.31541652589496
-92.87128016754905,30.03983914877399,160.21085241195837
-92.87118212894272,30.039848783479286,165.98195656242166
-92.8710841424229,30.03985766241309,173.86601601227113
-92.87098621572777,30.039865655052793,168.07562840770603
-92.87088835659557,30.03987263087581,163.99207515039265
-92.87079057276456,30.039878459359542,161.8142034578362
-92.87069287197295,30.039883009981406,166.7046329954872
-92.87059526195894,30.0398861522188,176.2395718855601
-92.87049775046081,30.03988775554913,176.76986220186885
-92.87040034521674,30.039887689449802,178.76012799673177
-92.87030305396497,30.03988582339823,178.45487517309903
-92.87020588444375,30.039882026871812,170.64465361768364
-92.87010884439128,30.039876169347963,174.61459756345124
-92.87001194154581,30.039868120304078,180.98502143449187
-92.86991518364559,30.039857749217582,177.63241175648918
-92.8698185784288,30.03984492556587,170.98400595980692
-92.86972213363369,30.03982951882635,191.2849605698805
-92.86962585699848,30.039811398476424,187.27161921939242
-92.86952976181551,30.03979043681282,182.59098691660515
-92.86943397798264,30.03976656532232,181.26276277801168
-92.86933874613133,30.039739771701125,175.72544467774935
-92.86924431127187,30.03971004586816,174.14855515473462
-92.86915091841442,30.03967737774231,174.18924220454196
-92.86905881256929,30.0396417572425,171.64631785621214
-92.86896823874669,30.039603174287645,168.9150058012752
-92.86887944195689,30.039561618796654,166.63163700016324
-92.86879266721014,30.03951708068843,163.5934281331339
-92.86870815951661,30.039469549881883,150.95740407502822
-92.86862616388663,30.039419016295927,152.11428298835187
-92.86854692533039,30.03936546984947,154.93506087625175
-92.86847068885817,30.039308900461425,149.31982325188434
-92.86839769948016,30.03924929805069,138.02013539131667
-92.86832820220667,30.0391866525362,137.8766382679294
-92.86826244204786,30.03912095383684,134.29415733487744
-92.86820066401407,30.03905219187153,127.14154050084593
-92.86814311311547,30.03898035655918,120.87662929986993
-92.86809003436231,30.038905437818695,119.05852297456666
-92.86804167276486,30.038827425568996,119.67017416279137
-92.86799827333336,30.03874630972898,121.20974209530117
-92.86796008107802,30.038662080217563,122.55889324248655
-92.86792734100912,30.03857472695366,122.68683087054521
-92.86790029813689,30.038484239856167,122.9974332991557
-92.86787919747155,30.038390608844004,123.86800966833073
-92.86786428402337,30.038293823836085,121.88760106089177
-92.86785580280258,30.038193874751308,121.51948449717506
-92.86785399881946,30.038090751508598,120.27016354533343
-92.86785911708418,30.037984444026844,118.2264396192779
-92.86787140260704,30.037874942224974,115.82394238344483
-92.86789110039823,30.037762236021887,109.61847772906334
-92.86791845546807,30.037646315336506,106.8037930164901
