     llat       llon      rlat       rlon
30.038422 -92.876799 30.116041 -92.907577
30.038428 -92.876841 30.116031 -92.907587
30.038433 -92.876875 30.116022 -92.907602
30.038440 -92.876927 30.116011 -92.907616
30.038421 -92.876955 30.116002 -92.907630
30.038401 -92.876975 30.115994 -92.907641
30.038375 -92.877013 30.115989 -92.907650
30.038355 -92.877033 30.115981 -92.907661
30.038319 -92.877055 30.115977 -92.907667
30.038285 -92.877086 30.115966 -92.907684
30.038257 -92.877106 30.115956 -92.907701
30.038229 -92.877127 30.115951 -92.907713
30.038195 -92.877157 30.115949 -92.907725
30.038171 -92.877203 30.115940 -92.907739
30.038170 -92.877246 30.115935 -92.907748
30.038160 -92.877282 30.115930 -92.907760
30.038150 -92.877317 30.115925 -92.907771
30.038134 -92.877362 30.115917 -92.907786
30.038124 -92.877397 30.115911 -92.907797
30.038121 -92.877432 30.115903 -92.907808
30.038117 -92.877458 30.115898 -92.907820
30.038110 -92.877510 30.115895 -92.907822
30.038101 -92.877553 30.115885 -92.907843
30.038099 -92.877587 30.115877 -92.907857
30.038102 -92.877613 30.115867 -92.907877
30.038095 -92.877664 30.115865 -92.907886
30.038092 -92.877699 30.115860 -92.907911
30.038084 -92.877742 30.115851 -92.907928
30.038084 -92.877793 30.115842 -92.907945
30.038080 -92.877819 30.115835 -92.907965
30.038071 -92.877862 30.115827 -92.907979
30.038078 -92.877912 30.115825 -92.907988
30.038076 -92.877946 30.115818 -92.908009
30.038081 -92.877979 30.115809 -92.908026
30.038093 -92.878063 30.115803 -92.908041
30.038103 -92.878130 30.115797 -92.908055
30.038099 -92.878155 30.115794 -92.908070
30.038103 -92.878180 30.115791 -92.908086
30.038112 -92.878239 30.115785 -92.908100
30.038126 -92.878288 30.115782 -92.908116
30.038133 -92.878330 30.115777 -92.908127
30.038146 -92.878371 30.115774 -92.908142
30.038171 -92.878437 30.115771 -92.908155
30.038191 -92.878470 30.115772 -92.908165
30.038211 -92.878502 30.115771 -92.908181
30.038222 -92.878527 30.115773 -92.908201
30.038236 -92.878568 30.115771 -92.908223
30.038250 -92.878610 30.115768 -92.908248
30.038263 -92.878651 30.115769 -92.908258
30.038267 -92.878676 30.115765 -92.908280
30.038288 -92.878717 30.115761 -92.908298
30.038293 -92.878751 30.115757 -92.908317
30.038299 -92.878793 30.115751 -92.908334
30.038312 -92.878826 30.115749 -92.908340
30.038316 -92.878851 30.115740 -92.908357
30.038331 -92.878901 30.115737 -92.908375
30.038344 -92.878941 30.115736 -92.908378
30.038358 -92.878984 30.115729 -92.908399
30.038370 -92.879017 30.115725 -92.908417
30.038375 -92.879050 30.115723 -92.908430
30.038388 -92.879084 30.115719 -92.908445
30.038400 -92.879117 30.115720 -92.908455
30.038412 -92.879150 30.115723 -92.908469
30.038425 -92.879183 30.115722 -92.908485
30.038438 -92.879217 30.115722 -92.908499
30.038466 -92.879250 30.115723 -92.908519
30.038493 -92.879275 30.115723 -92.908535
30.038519 -92.879299 30.115720 -92.908548
30.038552 -92.879316 30.115717 -92.908563
30.038592 -92.879323 30.115718 -92.908573
30.038623 -92.879322 30.115717 -92.908590
30.038660 -92.879312 30.115717 -92.908603
30.038690 -92.879302 30.115720 -92.908617
30.038718 -92.879284 30.115720 -92.908627
30.038738 -92.879258 30.115725 -92.908643
30.038767 -92.879240 30.115728 -92.908657
30.038795 -92.879222 30.115730 -92.908675
30.038828 -92.879229 30.115729 -92.908691
30.038855 -92.879254 30.115727 -92.908701
30.038890 -92.879278 30.115726 -92.908720
30.038911 -92.879312 30.115724 -92.908732
30.038924 -92.879346 30.115723 -92.908749
30.038937 -92.879380 30.115718 -92.908774
30.038950 -92.879414 30.115715 -92.908789
30.038955 -92.879449 30.115713 -92.908812
30.038969 -92.879492 30.115712 -92.908829
30.038959 -92.879526 30.115708 -92.908847
30.038948 -92.879561 30.115708 -92.908864
30.038937 -92.879596 30.115704 -92.908879
30.038934 -92.879630 30.115699 -92.908907
30.038924 -92.879665 30.115694 -92.908929
30.038921 -92.879699 30.115688 -92.908943
30.038927 -92.879742 30.115684 -92.908951
30.038924 -92.879776 30.115675 -92.908967
30.038929 -92.879810 30.115667 -92.908981
30.038934 -92.879844 30.115655 -92.908999
30.038933 -92.879887 30.115648 -92.909019
30.038945 -92.879921 30.115642 -92.909033
30.038993 -92.879921 30.115634 -92.909046
30.039022 -92.879903 30.115625 -92.909059
30.039042 -92.879877 30.115613 -92.909067
30.039061 -92.879843 30.115606 -92.909074
30.039072 -92.879809 30.115597 -92.909079
30.039099 -92.879774 30.115582 -92.909083
30.039128 -92.879756 30.115568 -92.909086
30.039158 -92.879738 30.115556 -92.909090
30.039182 -92.879738 30.115542 -92.909093
30.039235 -92.879711 30.115533 -92.909099
30.039283 -92.879710 30.115516 -92.909101
30.039316 -92.879710 30.115513 -92.909103
30.039365 -92.879709 30.115495 -92.909111
30.039405 -92.879708 30.115482 -92.909114
30.039457 -92.879725 30.115473 -92.909116
30.039501 -92.879742 30.115457 -92.909118
30.039535 -92.879750 30.115401 -92.909150
30.039570 -92.879758 30.115384 -92.909151
30.039613 -92.879767 30.115377 -92.909153
30.039657 -92.879784 30.115357 -92.909156
30.039700 -92.879792 30.115344 -92.909155
30.039735 -92.879800 30.115327 -92.909156
30.039779 -92.879809 30.115312 -92.909154
30.039815 -92.879826 30.115295 -92.909158
30.039850 -92.879835 30.115279 -92.909156
30.039880 -92.879861 30.115259 -92.909160
30.039925 -92.879878 30.115243 -92.909161
30.039963 -92.879905 30.115232 -92.909167
30.039990 -92.879913 30.115218 -92.909173
30.040039 -92.879895 30.115207 -92.909183
30.040091 -92.879895 30.115190 -92.909187
30.040132 -92.879885 30.115177 -92.909192
30.040158 -92.879885 30.115167 -92.909196
30.040208 -92.879867 30.115147 -92.909199
30.040240 -92.879848 30.115135 -92.909198
30.040271 -92.879821 30.115114 -92.909197
30.040292 -92.879784 30.115099 -92.909194
30.040305 -92.879748 30.115095 -92.909197
30.040335 -92.879711 30.115084 -92.909192
30.040357 -92.879684 30.115066 -92.909192
30.040390 -92.879665 30.115051 -92.909190
30.040426 -92.879673 30.115040 -92.909186
30.040463 -92.879682 30.115025 -92.909173
30.040491 -92.879691 30.115011 -92.909168
30.040533 -92.879672 30.115004 -92.909158
30.040528 -92.879635 30.114982 -92.909150
30.040521 -92.879589 30.114961 -92.909138
30.040525 -92.879553 30.114950 -92.909134
30.040539 -92.879525 30.114936 -92.909132
30.040580 -92.879497 30.114924 -92.909134
30.040630 -92.879468 30.114909 -92.909135
30.040671 -92.879439 30.114898 -92.909134
30.040705 -92.879420 30.114890 -92.909134
30.040740 -92.879410 30.114876 -92.909129
30.040798 -92.879370 30.114861 -92.909123
30.040832 -92.879360 30.114845 -92.909117
30.040864 -92.879322 30.114832 -92.909109
30.040896 -92.879284 30.114830 -92.909108
30.040920 -92.879256 30.114816 -92.909093
30.040942 -92.879218 30.114803 -92.909088
30.040964 -92.879179 30.114792 -92.909076
30.040981 -92.879169 30.114779 -92.909071
30.041024 -92.879140 30.114770 -92.909061
30.041058 -92.879120 30.114757 -92.909057
30.041092 -92.879090 30.114737 -92.909049
30.041114 -92.879052 30.114714 -92.909040
30.041120 -92.879023 30.114704 -92.909036
30.041122 -92.878976 30.114687 -92.909030
30.041112 -92.878910 30.114680 -92.909027
30.041135 -92.878872 30.114660 -92.909019
30.041178 -92.878841 30.114655 -92.909017
30.041244 -92.878838 30.114630 -92.909008
30.041282 -92.878836 30.114618 -92.909003
30.041318 -92.878815 30.114607 -92.908996
30.041374 -92.878803 30.114596 -92.908985
30.041420 -92.878791 30.114590 -92.908976
30.041444 -92.878761 30.114585 -92.908962
30.041468 -92.878722 30.114581 -92.908947
30.041493 -92.878692 30.114575 -92.908936
30.041528 -92.878661 30.114568 -92.908923
30.041542 -92.878622 30.114557 -92.908913
30.041556 -92.878583 30.114550 -92.908907
30.041579 -92.878543 30.114537 -92.908899
30.041606 -92.878522 30.114534 -92.908898
30.041642 -92.878501 30.114502 -92.908900
30.041698 -92.878478 30.114482 -92.908879
30.041756 -92.878465 30.114468 -92.908874
30.041825 -92.878461 30.114458 -92.908867
30.041855 -92.878459 30.114450 -92.908861
30.041925 -92.878454 30.114437 -92.908849
30.041945 -92.878453 30.114428 -92.908839
30.041986 -92.878461 30.114415 -92.908828
30.042039 -92.878477 30.114400 -92.908815
30.042093 -92.878493 30.114393 -92.908806
30.042135 -92.878501 30.114380 -92.908798
30.042190 -92.878527 30.114371 -92.908784
30.042235 -92.878554 30.114358 -92.908773
30.042270 -92.878582 30.114347 -92.908759
30.042307 -92.878619 30.114337 -92.908749
30.042333 -92.878657 30.114328 -92.908739
30.042349 -92.878696 30.114316 -92.908725
30.042365 -92.878735 30.114303 -92.908707
30.042402 -92.878772 30.114296 -92.908698
30.042448 -92.878800 30.114287 -92.908685
30.042489 -92.878798 30.114278 -92.908675
30.042552 -92.878795 30.114270 -92.908662
30.042597 -92.878813 30.114261 -92.908649
30.042632 -92.878841 30.114256 -92.908634
30.042670 -92.878879 30.114259 -92.908618
30.042697 -92.878918 30.114261 -92.908606
30.042735 -92.878957 30.114267 -92.908594
30.042751 -92.878996 30.114272 -92.908583
30.042768 -92.879035 30.114278 -92.908568
30.042785 -92.879075 30.114279 -92.908559
30.042802 -92.879124 30.114283 -92.908540
30.042808 -92.879164 30.114278 -92.908525
30.042815 -92.879213 30.114269 -92.908513
30.042831 -92.879253 30.114260 -92.908503
30.042834 -92.879272 30.114251 -92.908494
30.042874 -92.879331 30.114239 -92.908484
30.042921 -92.879360 30.114226 -92.908469
30.042976 -92.879369 30.114216 -92.908463
30.042993 -92.879338 30.114209 -92.908458
30.042988 -92.879298 30.114195 -92.908444
30.042993 -92.879258 30.114184 -92.908434
30.043009 -92.879217 30.114178 -92.908422
30.043014 -92.879177 30.114172 -92.908411
30.043044 -92.879156 30.114169 -92.908390
30.043086 -92.879145 30.114160 -92.908365
30.043129 -92.879143 30.114151 -92.908356
30.043231 -92.879174 30.114143 -92.908344
30.043316 -92.879167 30.114131 -92.908328
30.043369 -92.879154 30.114124 -92.908319
30.043414 -92.879134 30.114110 -92.908299
30.043452 -92.879122 30.114102 -92.908288
30.043499 -92.879119 30.114099 -92.908277
30.043540 -92.879124 30.114102 -92.908265
30.043581 -92.879130 30.114103 -92.908259
30.043615 -92.879144 30.114106 -92.908244
